name,description,biography,personality,seasons,titles,status,death,origin,allegiance,culture,religion,predecessor,successor,father,mother,spouse,children,siblings,lovers,image_1_src,image_1_caption,image_2_src,image_2_caption,image_3_src,image_3_caption,image_4_src,image_4_caption,image_5_src,image_5_caption,image_6_src,image_6_caption,image_7_src,image_7_caption,image_8_src,image_8_caption,house
Dothraki pit fighter,A Dothraki pit fighter is an unnamed minor character in the fifth season. He is played by Fausto Labraña.,"","",5,"",Dead,The Dance of Dragons,Dothraki Sea,Dothraki,Dothraki,Great Stallion,"","","","","","","","","",Dothraki pit fighter,"","","","","","","","","","","","","","",""
Cotter Pyke,"Cotter Pyke is an unseen character in Game of Thrones. Cotter Pyke is an officer of the Night's Watch, and the commander of Eastwatch.","Cotter Pyke is a senior member of the Night's Watch. He serves as commander of Eastwatch, the eastern-most castle on the Wall. He is a bastard, born on the Iron Islands.","",1,Commander,Alive,"",Iron Islands,Night's Watch,Ironborn,"","","","","","","","","","",Cotter Pyke,"","","","","","","","","","","","","","",""
Dorren Stark,King Dorren Stark is an unseen character in Game of Thrones. He is long dead by the time in which the show takes place. He was a King in the North before the Targaryen Conquest.,"","",5,King in the North,Deceased,"",Winterfell,House Stark,Northmen,Old Gods of the Forest,"","","","","","","","","",Dorren Stark,"","","","","","","","","","","","","","",House Stark
Ortengryn,Ortengryn was the Maester of Ironrath and a loyal servant to House Forrester.,"Originating from a minor house in the Vale, Maester Ortengryn studied at the Citadel in the hope of being assigned to the Eyrie. But by the time he’d earned enough links on his chain to graduate from acolyte, Jon Arryn had been murdered and the South was in turmoil. The Citadel ultimately assigned Maester Ortengryn to Ironrath, where he soon came to respect the Forrester family’s honor and integrity. He now serves the Forresters with pride and has become a trusted advisor to Lord Gregor.
Ortengryn's links in his chain are gold for money and accounting, and silver for medicine and healing.","","",Maester,Deceased,Killed during the Battle of Ironrath,The Vale of Arryn,"House Forrester, Order of Maesters",Andal,"","","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/8/83/TID_Ortengryn_Meek.png/revision/latest?cb=20151118013159,Ortengryn,"","","","","","","","","","","","","","",""
Loreza Sand,"Loreza Sand is an unseen character in the fourth season. She is alluded to in ""First of His Name"".","Loreza Sand is the last of the eight bastard daughters of Prince Oberyn Martell, known as the ""Sand Snakes"". Her mother is Oberyn's paramour, Ellaria Sand.","",4,"",Alive,"","",House Martell,Dornishmen,"","","",Oberyn Martell,Ellaria Sand,"","","Tyene Sand, Elia Sand, Obella Sand, Dorea SandPaternal half-sisters:, Obara Sand, Nymeria Sand, Sarella Sand","","",Loreza Sand,"","","","","","","","","","","","","","",House Martell
Wyman Manderly,"Lord Wyman Manderly is a minor character in the sixth season. He is played by guest star Sean Blowers and debuts in ""The Winds of Winter"". Wyman is the head of House Manderly, a prominent Northern house.","Lord Wyman Manderly fought in the War of the Five Kings for Robb Stark, however, after his son and heir, Wendel Manderly, was slain during the Red Wedding, he decided to take no part in the Bolton and Stark conflict and stayed at White Harbor to ensure no more Manderly lives would be at risk.","",6,Lord of White Harbor,Alive,"",White Harbor,"House Manderly, House Stark",Northmen,Faith of the Seven,"","","","","",Wendel Manderly,"","",http://vignette2.wikia.nocookie.net/gameofthrones/images/2/21/Wyman_Manderly.jpg/revision/latest?cb=20160807210030,Wyman Manderly,"","","","","","","","","","","","","","",House Stark
Smitty,Smitty ​is a minor character in the fourth season. He is a member of the Night's Watch.,"","",4,"",Deceased,Falls off the top of the Wall to his death,"",Night's Watch,"","","","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/7/75/Smitty.PNG/revision/latest?cb=20160826070050,Smitty,http://vignette2.wikia.nocookie.net/gameofthrones/images/2/25/Smitty_4x09.PNG/revision/latest/scale-to-width-down/180?cb=20160826000122,Smitty as he repels down the wall with his bow.,http://vignette1.wikia.nocookie.net/gameofthrones/images/0/0f/Smitty-death.PNG/revision/latest/scale-to-width-down/180?cb=20160730064950,Smitty falling to his death.,"","","","","","","","","","",""
Riddell,"Riddell is a minor character in the sixth season. He is played by Ross McKinney and appears in the episode, ""No One"".","Riddell is a member of the Brotherhood Without Banners. It is not clear whether he was one of the rogue members, but it is possible as he is in the company of Gatins and not with the main group.","",6,"",Deceased,Impaled in the chest with an axe by Sandor Clegane,"",Brotherhood Without Banners,"","","","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/0/06/Riddell_infobox_s6.jpg/revision/latest?cb=20160616044930,Riddell,"","","","","","","","","","","","","","",""
Brusco,"Brusco is a character in the fifth season. He is played by Garry Mountaine and appears in ""The Dance of Dragons"".",Brusco is a bouncer living in Braavos.,"",5,"",Alive,"",Braavos,"",Braavosi,"","","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/2/2f/Brusco.png/revision/latest?cb=20150608114029,Brusco,"","","","","","","","","","","","","","",""
Gerhard Forrester,"Lord Gerhard Forrester, also known as Gerhard the Tall, is an unseen character in Game of Thrones: A Telltale Games Series.
He ​was the man that founded House Forrester.","","","","",Deceased,"","",House Forrester,Northmen,"","","","","","","","","","",Gerhard Forrester,"","","","","","","","","","","","","","",""
Hallyne,"Hallyne, sometimes called Hallyne the Pyromancer, is a recurring character in the second season. He is played by Roy Dotrice. Hallyne is the head of the Alchemists' Guild in King's Landing.","Hallyne is the head of the Alchemists' Guild in King's Landing, in charge of the city's stocks of wildfire and concerned with other fire-related matters.
During the reign of Aerys II Targaryen, in which the Guild returned to prominence, Hallyne was an acolyte of the Guild. Later, as Robert's Rebellion raged on, Hallyne heard rumors that Aerys had commissioned the Guild's Wisdoms, led by Rossart, to create a great weapon to employ against Robert Baratheon. However, the city was sacked before the weapon could be unleashed and many of the Wisdoms assassinated.","",2,Wisdom,Alive,"",King's Landing,"Alchemists' Guild, Iron Throne, House Targaryen[1]","","","","","","","","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/6/6d/Hallyne.png/revision/latest?cb=20160730012731,Hallyne,http://vignette1.wikia.nocookie.net/gameofthrones/images/f/fc/Tyrion_see_Wildfire.png,"Tyrion in the wildfire vault at the Guildhall of the Alchemists in ""The Ghost of Harrenhal""",http://vignette4.wikia.nocookie.net/gameofthrones/images/1/16/Hallyne_2x09.jpg,"Hallyne, delighted with his work in ""Blackwater"".","","","","","","","","","","",""
Kraznys mo Nakloz,"Kraznys mo Nakloz is a recurring character in the third season. He is a slave-trader in the city of Astapor, on the coast of Slaver's Bay, and one of the Good Masters, the ruling elite of the city. He is an immensely wealthy individual who has grown rich from the training and trading of the Unsullied warrior-eunuchs.","Kraznys mo Nakloz is one of the Good Masters, the ruling elite of the city of Astapor, composed of slave traders. As with many of his compatriots, Kraznys only speaks a Low Valyrian dialect and does not know the Common Tongue of Westeros. Thus when dealing with foreign customers, Kraznys relies on his slave Missandei to serve as his translator.","",3,Good Master,Deceased,Burned alive by Drogon,Astapor,Good Masters,Ghiscari (Astapori),"","","","","","","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/c/cf/Kraznys-3x03.jpg/revision/latest?cb=20130408113949,Kraznys mo Nakloz,http://vignette2.wikia.nocookie.net/gameofthrones/images/5/5f/Drogon_kills_Kraznys_S3E4.jpg,Drogon burns Kraznys.,"","","","","","","","","","","","",""
Simpson,Simpson is a minor character in the fifth season. He is played by Laurence O'Fuarain.,Simpson is a soldier in service to House Bolton.,"",5,"",Deceased,Killed by Stannis Baratheon,"",House Bolton,Northmen,"","","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/c/c9/Simpson.jpg/revision/latest?cb=20160723031942,Simpson,"","","","","","","","","","","","","","",House Bolton
Cassana Baratheon,"Cassana Baratheon, née Estermont, is an unseen character in Game of Thrones. She is deceased when the events of the series begin and is not expected to appear in the series. She is the mother of King Robert Baratheon.","Cassana was born to House Estermont, a noble house from the Stormlands. She became the Lady of Storm's End and the wife of Lord Steffon Baratheon, the head of House Baratheon, one of the Great Houses of Westeros. They had three sons, Robert, Stannis and Renly Baratheon. She lived with her family in Storm's End.","",1,Lady of Storm's End,Deceased,"",Greenstone,House Baratheon,Andal,"","","","","",Steffon Baratheon,"Robert Baratheon, Stannis Baratheon, Renly Baratheon","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/0/0b/Steffon.jpg/revision/latest?cb=20160804233823,Cassana Baratheon,"","","","","","","","","","","","","","",House Baratheon
Danelle Lothston,"Danelle Lothston was a Lady of Harrenhal and the head of House Lothston. She's also known as Mad Lady Lothston and is the stuff of tales and horror stories.
According to tales, Mad Lady Lothston cooked children, which she captured by sending a giant bat - the sigil of House Lothston - out of the castle of Harrenhal, bathed in blood, and served feasts of human flesh.","","","",Lady of Harrenhal,Deceased,"",Harrenhal,House Lothston,Andal,"","","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/8/87/Mad_danelle.jpg/revision/latest?cb=20130301051109,Danelle Lothston,"","","","","","","","","","","","","","",""
Maron Martell,"Prince Maron Martell is an unseen character in Game of Thrones. He is not expected to appear in the series, being long dead by the time it begins.","Maron Martell was a Dornish Prince of the House Martell of Sunspear. He married Princess Daenerys Targaryen, while his sister Myriah married King Daeron II Targaryen.","",1,"Prince of Dorne, Lord of Sunspear",Deceased,"",Sunspear,House Martell,Dornishmen,"","","","","",Daenerys Targaryen,"",Myriah Martell,"",http://vignette4.wikia.nocookie.net/gameofthrones/images/b/b4/Maron_Martell.png/revision/latest?cb=20150302223648,Maron Martell,"","","","","","","","","","","","","","",House Martell
Lhara,Lhara is a character who appears in fourth and fifth seasons. She is played by guest star Sarine Sofair.,Lhara is a prostitute living in Braavos.,"","4, 5","",Alive,"",Braavos,"",Braavosi,"","","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/1/1a/5x08_Lhara.jpg/revision/latest?cb=20160829193524,Lhara,"","","","","","","","","","","","","","",""
Child of the Forest 2 (The Children),This child of the forest is a background character in the fourth season. She is a member of the non-human race known as the Children of the Forest.,"","",4,"",Uncertain; Most likely killed by White Walkers,"","",Children of  Forest,Children of the Forest,Old Gods of the Forest,"","","","","","","","",http://vignette4.wikia.nocookie.net/gameofthrones/images/2/25/Child_of_the_forest_2.jpg/revision/latest?cb=20160626012947,Child of the Forest 2 (The Children),"","","","","","","","","","","","","","",""
Violet,"Violet is a minor character in the third season. She is played by Stephanie Blacker and appeared in ""The Bear and the Maiden Fair"".","","",3,"",Deceased,Killed by Ramsay Snow,"",House Bolton,Northmen,"","","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/5/59/Violet.jpg/revision/latest?cb=20160812051917,Violet,"","","","","","","","","","","","","","",House Bolton
Syrio Forel,"Syrio Forel is a recurring character in the first season. He is played by guest star Miltos Yerolemou and debuts in ""Lord Snow."" Syrio Forel is a master sword-fighter and instructor hired by Eddard Stark to train Arya Stark.","Syrio Forel is a bravo and master sword-fighter, originally from the Free City of Braavos where he spent nine years as the First Sword of the city, before relocating to King's Landing.","Mastering the technique of the Braavosi Water Dance, Syrio Forel was eccentric and confident in his movements and words, showing himself fearless and flamboyant. Arya Stark states that he was one of the greatest swordsmen that ever lived; this is proven true as he single-handedly defeated five armored Kingsguard with a wooden training sword. Syrio never wore armor in combat and preferred light weaponry, as the Water Dance strongly relies on agility and being light on one's feet. He often used his enemies use of armor to his advantage in a fight, wearing them down and outmaneuvering them with his speed before finishing them off. Syrio's lack of armor and strong weapons, however, might have resulted in his downfall against Meryn Trant. Sandor Clegane jests that even through Syrio might have been ""the greatest swordsman who ever lived"", he lost to the cowardly and weak Trant solely because the knight had a big sword and armor. Syrio's teaching style could be considered unusual but effective. During lessons with Arya, he taught her that in combat the sword and the one holding it should be one, and to teach her mobility and dexterity, had her chase cats around the Red Keep.
Syrio seemed to lack faith in the Old Gods and the New, claiming the only true God is Death, as everyone succumbs to Him eventually. He possesses a warrior's belief in this, however, claiming that the only thing one says to Death is ""not today"". Courageous, implacable and fearsome, Syrio showed no visible fear even when faced with Meryn Trant and deprived of his only weapon's effectiveness. Syrio had a very observant view on Westerosi combat, considering it to be little more than hacking and hammering, in that it lacked elegance or precision (An opinion only acceptable from a master swordsman, naturally), and he had a sense of honour as evidenced by his disgust that Meryn Trant's men would have the gall to threaten a little girl. Syrio Forel was obviously quite charismatic, as he inspired Arya's behaviour after his death: She was motivated to kill Meryn Trant for killing Syrio, and continued to utilise his lessons after he allowed her to escape from Cersei Lannister's men.",1,The First Sword of Braavos,"Uncertain; last seen fighting Ser Meryn Trant, likely deceased","",Braavos,"House Stark, Sealord of Braavos",Braavosi,Many-Faced God,"","","","","","","","",http://vignette4.wikia.nocookie.net/gameofthrones/images/6/63/Syrio_Forel.png/revision/latest?cb=20120722210850,Syrio Forel,http://vignette1.wikia.nocookie.net/gameofthrones/images/0/0c/Syrio_Forel.jpg,Syrio is hired to teach Arya Stark the ways of a water dancer.,http://vignette1.wikia.nocookie.net/gameofthrones/images/a/a2/Syrio_Forel_1x08.png,Syrio duels Ser Meryn Trant.,"","","","","","","","","","",House Stark
Little birds,"Little birds are the members of a network of spies and informants in the service of Varys, the Master of Whisperers on the small council of the Red Keep. Many of Varys's ""little birds"" are seemingly innocuous street children, although adults are counted among their ranks as well.
Apparently Varys informally refers to his spies as ""my little birds"" due to the common euphemism for spying, that ""a little bird told me"".
Varys's network spans not only the length and breadth of Westeros, but also Essos as far east as Vaes Dothrak and Slaver's Bay and possibly even Qarth.
After Varys flees from King's Landing, some of his little birds in the city are recruited and used by Qyburn, the new Master of Whisperers under Cersei Lannister.","","","1, 4, 6","",Active,"","","Varys, Qyburn","","","","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/d/d7/Varys_lil_birds_spies.jpg/revision/latest?cb=20160619070144,Little birds,http://vignette3.wikia.nocookie.net/gameofthrones/images/6/69/LittleBird.jpg,"The ""Little Bird"" Spies","","","","","","","","","","","","",""
Penn,Penn is a lieutenant of the Second Sons. He appears in Game of Thrones: A Telltale Games Series.,"","","",Lieutenant of the Second Sons,Alive,"","",Second Sons,"","","","","","","","","","",http://vignette4.wikia.nocookie.net/gameofthrones/images/a/a3/Penn.png/revision/latest?cb=20151109071239,Penn,"","","","","","","","","","","","","","",""
Unsullied 1 (Oathkeeper),"An Unsullied is an unnamed minor character in the fourth season. He is played by guest star Karl Jackson and debuts in ""Oathkeeper"".","He's an Unsullied, enslaved and castrated as a child and submitted to a cruel training by the Good Masters of Astapor. He was made a free man after Daenerys Targaryen bought 8,000 Unsullied and had them sack Astapor. Like the rest of his fellow Unsullied, he chose to fight for her, participating in the liberation of the entire slave population of Yunkai.","",4,"",Alive,"",Astapor,House Targaryen,"","","","","","","","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/6/62/Unsullied_warrior.png/revision/latest?cb=20140429190154,Unsullied 1 (Oathkeeper),"","","","","","","","","","","","","","",House Targaryen
Echiel,"Echiel is an unidentified background character in the first season. He is a newly made Builder of the Night's Watch, of the same group of recruits as Jon Snow.","","",1,"",Alive,"","",Night's Watch,"","","","","","","","","","","",Echiel,"","","","","","","","","","","","","","",""
Josera Snow,"Josera Snow is the bastard son of Lord Gregor Forrester and the brother of Elsera Snow, both of whom live in the North Grove. He is a warg that controls a snow bear named Shadow.","Josera and Elsera, as the bastard children of Gregor, were his hidden shame. Because of this, he sent them beyond the Wall to the North Grove to protect it.","","",Warg,Alive,"",North Grove,House Forrester,Northmen,"","","",Gregor Forrester,"","","","Elsera SnowPaternal half-siblings:, Rodrik Forrester, Asher Forrester , Mira Forrester, Ethan Forrester, Talia Forrester, Ryon Forrester","",http://vignette1.wikia.nocookie.net/gameofthrones/images/1/1f/TID_Josera_Angry.png/revision/latest?cb=20151118004926,Josera Snow,http://vignette2.wikia.nocookie.net/gameofthrones/images/1/12/TID_Josera_Warging.png,Josera wargs into Shadow.,http://vignette3.wikia.nocookie.net/gameofthrones/images/8/8c/TID_Josera_Arguing.png,Josera argues for marching south.,"","","","","","","","","","",""
Great Master 2 (Breaker of Chains),"A Great Master is an unnamed minor character in the fourth season. He is a slave-trader from the city of Meereen, on the coast of Slaver's Bay. He is played by guest star Derek Horsham and appears in ""Breaker of Chains"".","","",4,"",Deceased,"",Meereen,Great Masters,Ghiscari (Meereenese),"","","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/f/f8/Slave_master_2.png/revision/latest?cb=20160723031954,Great Master 2 (Breaker of Chains),"","","","","","","","","","","","","","",""
